Date,Open,High,Low,Close,Adj Close,Volume
2018-06-04,230.35000610351562,231.14999389648438,228.9499969482422,229.88999938964844,192.02357482910156,2133600.0
2018-06-05,228.94000244140625,229.33999633789062,227.2899932861328,228.33999633789062,190.72885131835938,1986200.0
2018-06-06,229.85000610351562,232.5800018310547,229.36000061035156,232.22999572753906,193.97816467285156,2566400.0
2018-06-07,233.88999938964844,235.9199981689453,232.5399932861328,233.4499969482422,194.99720764160156,2905000.0
2018-06-08,233.0,234.27000427246094,232.35000610351562,233.38999938964844,194.9470672607422,2253100.0
2018-06-11,234.6199951171875,235.16000366210938,233.58999633789062,234.08999633789062,195.53175354003906,1936800.0
2018-06-12,234.1199951171875,235.22999572753906,231.86000061035156,232.6300048828125,194.312255859375,2080000.0
2018-06-13,233.64999389648438,238.22999572753906,233.10000610351562,233.8300018310547,195.3146209716797,3637400.0
2018-06-14,235.8699951171875,235.88999938964844,232.58999633789062,233.64999389648438,195.16419982910156,2899600.0
2018-06-15,231.5,233.14999389648438,229.83999633789062,231.9199981689453,193.71920776367188,4738100.0
2018-06-18,230.1999969482422,231.6699981689453,229.14999389648438,231.38999938964844,193.2765350341797,2327500.0
2018-06-19,228.22000122070312,229.0399932861328,226.16000366210938,228.32000732421875,190.7122039794922,3326600.0
2018-06-20,229.9199981689453,229.94000244140625,226.9600067138672,227.82000732421875,190.29454040527344,2678300.0
2018-06-21,226.38999938964844,228.42999267578125,224.57000732421875,226.97999572753906,189.59291076660156,3094600.0
2018-06-22,227.77999877929688,230.5,225.5800018310547,226.02000427246094,188.791015625,2731800.0
2018-06-25,224.5,225.13999938964844,220.38999938964844,221.5399932861328,185.0489501953125,3817700.0
2018-06-26,221.77999877929688,222.8000030517578,219.1199951171875,221.5800018310547,185.0823516845703,2692900.0
2018-06-27,221.47999572753906,225.47000122070312,220.13999938964844,220.17999267578125,183.91294860839844,3104200.0
2018-06-28,220.25,224.66000366210938,219.5800018310547,223.4199981689453,186.6192626953125,3072600.0
2018-06-29,224.39999389648438,225.1699981689453,220.4499969482422,220.57000732421875,184.23876953125,3393700.0
2018-07-02,219.75,223.33999633789062,218.88999938964844,223.25999450683594,186.48565673828125,1723200.0
2018-07-03,224.4600067138672,224.63999938964844,219.99000549316406,220.3800048828125,184.0800323486328,1204400.0
2018-07-04,224.4600067138672,224.63999938964844,219.99000549316406,220.3800048828125,184.0800323486328,1204400.0
2018-07-05,221.5,222.13999938964844,219.77999877929688,220.74000549316406,184.38070678710938,2218200.0
2018-07-06,220.5399932861328,223.1999969482422,219.8800048828125,221.7899932861328,185.2577667236328,1846400.0
2018-07-09,223.36000061035156,228.1999969482422,223.0,227.99000549316406,190.43653869628906,2743900.0
2018-07-10,228.0,228.8699951171875,225.85000610351562,226.85000610351562,189.48431396484375,2524800.0
2018-07-11,225.75999450683594,227.25,225.1999969482422,225.66000366210938,188.49032592773438,2527000.0
2018-07-12,227.63999938964844,227.8000030517578,225.77000427246094,227.22000122070312,189.7933807373047,2223100.0
2018-07-13,226.6300048828125,228.6199951171875,223.92999267578125,226.41000366210938,189.1167755126953,2541500.0
2018-07-16,227.1999969482422,231.44000244140625,226.74000549316406,231.44000244140625,193.3182830810547,3271200.0
2018-07-17,231.47999572753906,233.22999572753906,226.8699951171875,231.02000427246094,192.96746826171875,9280200.0
2018-07-18,232.33999633789062,233.72000122070312,230.14999389648438,231.24000549316406,193.15118408203125,6149900.0
2018-07-19,231.11000061035156,231.99000549316406,228.97999572753906,229.6300048828125,191.806396484375,4638500.0
2018-07-20,229.00999450683594,232.0500030517578,228.8000030517578,231.69000244140625,193.527099609375,2683500.0
2018-07-23,231.8000030517578,234.86000061035156,231.72000122070312,233.75999450683594,195.2561492919922,2788500.0
2018-07-24,234.75,237.47999572753906,234.33999633789062,235.8800048828125,197.0269317626953,2887400.0
2018-07-25,235.00999450683594,236.85000610351562,233.9499969482422,236.69000244140625,197.70352172851562,2181500.0
2018-07-26,237.0,238.33999633789062,236.42999267578125,237.11000061035156,198.0542755126953,1885500.0
2018-07-27,237.9600067138672,238.8000030517578,235.99000549316406,237.63999938964844,198.4970245361328,1998200.0
2018-07-30,238.0,239.72999572753906,236.88999938964844,238.9499969482422,199.59121704101562,2454100.0
2018-07-31,239.5,239.5,236.5500030517578,237.42999267578125,198.32164001464844,2503700.0
2018-08-01,238.5,239.39999389648438,235.77999877929688,236.0399932861328,197.16055297851562,2510500.0
2018-08-02,233.92999267578125,235.2100067138672,232.77000427246094,233.99000549316406,195.4482421875,2579700.0
2018-08-03,234.44000244140625,235.52000427246094,233.49000549316406,234.08999633789062,195.53175354003906,3053100.0
2018-08-06,234.13999938964844,236.97999572753906,234.02999877929688,235.92999267578125,197.06869506835938,2259600.0
2018-08-07,237.25,239.4600067138672,236.49000549316406,237.8300018310547,198.6557159423828,2399500.0
2018-08-08,238.1199951171875,239.16000366210938,236.22999572753906,236.3699951171875,197.43618774414062,2522400.0
2018-08-09,236.35000610351562,236.85000610351562,233.38999938964844,233.77999877929688,195.2728729248047,2951900.0
2018-08-10,230.97000122070312,231.4600067138672,228.11000061035156,229.61000061035156,191.7896728515625,3863400.0
2018-08-13,229.49000549316406,229.88999938964844,226.57000732421875,226.86000061035156,189.49267578125,2662700.0
2018-08-14,227.35000610351562,230.3699951171875,227.3000030517578,229.55999755859375,191.74794006347656,2359000.0
2018-08-15,229.35000610351562,231.5399932861328,228.30999755859375,229.25,191.48898315429688,3218500.0
2018-08-16,230.6699981689453,233.2899932861328,230.4499969482422,233.0,194.62130737304688,2438300.0
2018-08-17,232.50999450683594,233.72000122070312,231.63999938964844,233.3800048828125,194.938720703125,2107200.0
2018-08-20,234.1300048828125,235.97999572753906,234.0800018310547,235.77999877929688,196.943359375,2604900.0
2018-08-21,235.2899932861328,239.52999877929688,235.2899932861328,238.64999389648438,199.34068298339844,2437300.0
