Date,Open,High,Low,Close,Adj Close,Volume
2021-05-24,115.74449920654297,118.27749633789062,115.5979995727539,118.052001953125,117.08429718017578,31832000
2021-05-25,118.5999984741211,119.19999694824219,117.75,118.14350128173828,117.17505645751953,22440000
2021-05-26,118.32599639892578,119.44950103759766,118.322998046875,119.0155029296875,118.0398941040039,21572000
2021-05-27,119.45249938964844,119.45249938964844,117.81300354003906,118.13400268554688,117.1656265258789,35224000
2021-05-28,118.72100067138672,118.80349731445312,117.64250183105469,117.84249877929688,116.87651062011719,21482000
2021-06-01,118.72200012207031,119.2854995727539,117.71399688720703,119.05899810791016,118.08303833007812,23354000
2021-06-02,119.4574966430664,119.68199920654297,117.61799621582031,118.52950286865234,117.55787658691406,21158000
2021-06-03,117.2864990234375,117.85099792480469,116.47599792480469,117.37899780273438,116.41681671142578,18696000
2021-06-04,118.4635009765625,119.95149993896484,118.12049865722656,119.67849731445312,118.69747161865234,24458000
2021-06-07,119.47200012207031,120.22550201416016,119.05000305175781,120.11499786376953,119.13040161132812,24120000
2021-06-08,120.60050201416016,120.97599792480469,119.73899841308594,119.9219970703125,118.93895721435547,24240000
2021-06-09,120.57150268554688,120.64399719238281,119.84500122070312,120.39700317382812,119.41007995605469,17942000
2021-06-10,120.34600067138672,121.80000305175781,120.18900299072266,121.75650024414062,120.75843048095703,25904000
2021-06-11,122.0,122.08599853515625,120.947998046875,121.51000213623047,120.51395416259766,21958000
2021-06-14,121.61299896240234,122.44599914550781,120.9000015258789,122.44550323486328,121.44178009033203,22098000
2021-06-15,122.44999694824219,122.77549743652344,121.05599975585938,121.41950225830078,120.42420196533203,21562000
2021-06-16,121.5719985961914,121.88600158691406,119.47000122070312,120.77249908447266,119.78250122070312,26472000
2021-06-17,120.69750213623047,122.52249908447266,120.5,121.74349975585938,120.74554443359375,25842000
2021-06-18,121.36699676513672,121.60299682617188,120.01499938964844,120.11100006103516,119.12641906738281,46116000
2021-06-21,120.50050354003906,122.0,119.89849853515625,121.8125,120.81397247314453,27414000
2021-06-22,121.75,122.4000015258789,121.06400299072266,122.33049774169922,121.32772827148438,22390000
2021-06-23,122.09349822998047,123.09549713134766,121.83450317382812,122.12699890136719,121.12590026855469,19148000
2021-06-24,122.69999694824219,123.05549621582031,122.30000305175781,122.5,121.4958267211914,21362000
2021-06-25,122.0,122.63300323486328,121.56500244140625,122.50849914550781,121.5042724609375,34594000
2021-06-28,122.67849731445312,122.78500366210938,121.40550231933594,122.53600311279297,121.53154754638672,28526000
2021-06-29,122.67050170898438,123.02100372314453,121.69100189208984,122.27249908447266,121.27020263671875,23108000
2021-06-30,121.99449920654297,122.25700378417969,121.35449981689453,122.0895004272461,121.08869934082031,24474000
2021-07-01,121.7249984741211,122.58699798583984,121.53150177001953,122.44450378417969,121.44080352783203,18110000
2021-07-02,123.1500015258789,125.40399932861328,123.05950164794922,125.25749969482422,124.23074340820312,25982000
2021-07-06,125.64849853515625,126.4280014038086,124.5824966430664,126.19000244140625,125.15559387207031,26404000
2021-07-07,127.16200256347656,127.28399658203125,126.15299987792969,126.4739990234375,125.43726348876953,24060000
2021-07-08,124.0260009765625,125.59549713134766,124.02200317382812,125.04399871826172,124.01898193359375,23790000
2021-07-09,125.0250015258789,125.7344970703125,124.55149841308594,125.51850128173828,124.4896011352539,18632000
2021-07-12,126.1780014038086,127.06950378417969,125.61100006103516,126.97550201416016,125.93464660644531,17668000
2021-07-13,127.03849792480469,128.0574951171875,126.67449951171875,127.34149932861328,126.29765319824219,19240000
2021-07-14,127.95800018310547,129.32650756835938,127.91449737548828,128.23699951171875,127.18579864501953,23742000
2021-07-15,128.6490020751953,128.6999969482422,126.52999877929688,127.00499725341797,125.96391296386719,24218000
2021-07-16,127.66300201416016,127.8115005493164,126.15350341796875,126.97000122070312,125.92919158935547,20424000
2021-07-19,126.0895004272461,126.20500183105469,123.50499725341797,124.5780029296875,123.55680084228516,27968000
2021-07-20,125.52749633789062,127.04299926757812,124.35050201416016,126.20950317382812,125.17493438720703,26312000
2021-07-21,126.13349914550781,127.59600067138672,126.02349853515625,127.54900360107422,126.50346374511719,20746000
2021-07-22,127.84400177001953,128.48300170898438,127.4990005493164,128.42149353027344,127.36880493164062,14302000
2021-07-23,130.4304962158203,133.3990020751953,129.80050659179688,133.01499938964844,131.92462158203125,41506000
2021-07-26,133.32850646972656,134.23699951171875,132.30149841308594,134.03500366210938,132.93630981445312,30572000
2021-07-27,134.25050354003906,134.3990020751953,130.10400390625,131.89999389648438,130.8187713623047,54710000
2021-07-28,136.31199645996094,138.2969970703125,135.27749633789062,136.093994140625,134.9783935546875,95130000
2021-07-29,136.14999389648438,136.66099548339844,135.54299926757812,135.77749633789062,134.66448974609375,31716000
2021-07-30,135.03500366210938,135.30450439453125,134.2550048828125,134.72650146484375,133.62213134765625,25576000
2021-08-02,135.11700439453125,135.3365020751953,133.79400634765625,134.85450744628906,133.74908447265625,21634000
2021-08-03,135.13499450683594,135.73199462890625,133.3195037841797,135.6300048828125,134.51820373535156,20762000
2021-08-04,135.34950256347656,135.64950561523438,134.48699951171875,135.12550354003906,134.01783752441406,19676000
2021-08-05,135.6804962158203,136.35000610351562,134.8459930419922,136.25149536132812,135.13462829589844,17870000
2021-08-06,136.04200744628906,136.47250366210938,135.2100067138672,135.73849487304688,134.62579345703125,20488000
2021-08-09,135.9425048828125,137.1840057373047,135.33949279785156,136.91299438476562,135.79066467285156,17760000
2021-08-10,137.3419952392578,137.7725067138672,136.364501953125,136.8070068359375,135.68556213378906,19414000
2021-08-11,137.18150329589844,137.6824951171875,136.27149963378906,136.2790069580078,135.16192626953125,15352000
2021-08-12,135.97549438476562,137.3000030517578,135.42550659179688,137.19400024414062,136.0694122314453,16506000
2021-08-13,137.25,137.85650634765625,137.0330047607422,137.7274932861328,136.5985107421875,15948000
2021-08-16,137.52499389648438,138.3625030517578,135.2989959716797,138.3094940185547,137.17575073242188,22384000
2021-08-17,137.75,138.2655029296875,136.08200073242188,136.6614990234375,135.54122924804688,21716000
2021-08-18,136.5,137.10450744628906,135.32150268554688,135.44900512695312,134.3386993408203,19258000
2021-08-19,134.4355010986328,136.3524932861328,134.25,135.67999267578125,134.5677947998047,21782000
2021-08-20,136.0,137.5540008544922,135.25,137.42950439453125,136.302978515625,31194000
2021-08-23,137.96949768066406,140.87449645996094,137.6074981689453,140.04150390625,138.8935546875,28454000
2021-08-24,140.6114959716797,142.0800018310547,140.3385009765625,141.26150512695312,140.10353088378906,19268000
2021-08-25,141.625,142.1894989013672,141.37600708007812,142.07899475097656,140.91433715820312,15848000
2021-08-26,141.75,142.41749572753906,141.35699462890625,141.4405059814453,140.28109741210938,20610000
2021-08-27,141.65249633789062,144.5124969482422,141.4969940185547,144.00399780273438,142.82357788085938,28780000
