Date,Open,High,Low,Close,Adj Close,Volume
2018-06-04,99.76000213623047,100.5,99.69999694824219,100.23999786376953,95.24101257324219,6598000.0
2018-06-05,100.36000061035156,100.51000213623047,99.77999877929688,99.94000244140625,94.95598602294922,5974400.0
2018-06-06,100.05999755859375,101.94000244140625,99.76000213623047,101.91000366210938,96.82774353027344,7833000.0
2018-06-07,101.91000366210938,102.95999908447266,101.80999755859375,102.47000122070312,97.35980987548828,7559200.0
2018-06-08,102.08999633789062,103.98999786376953,101.83000183105469,103.9800033569336,98.79451751708984,7090300.0
2018-06-11,103.93000030517578,104.79000091552734,103.75,104.3499984741211,99.14605712890625,8175000.0
2018-06-12,104.7300033569336,105.22000122070312,103.95999908447266,104.33000183105469,99.12706756591797,9215300.0
2018-06-13,103.19999694824219,107.87999725341797,102.66999816894531,106.30999755859375,101.00831604003906,22009400.0
2018-06-14,106.44999694824219,109.48999786376953,106.44999694824219,108.75,103.3266372680664,18068700.0
2018-06-15,108.16999816894531,109.41999816894531,107.8499984741211,108.8499984741211,103.42164611816406,16169200.0
2018-06-18,107.0,107.4800033569336,106.5,107.05999755859375,101.72090911865234,9288600.0
2018-06-19,105.87000274658203,106.98999786376953,105.76000213623047,106.0999984741211,100.80878448486328,8869500.0
2018-06-20,107.0,107.9000015258789,105.80999755859375,107.1500015258789,101.8064193725586,18625900.0
2018-06-21,107.01000213623047,107.25,105.79000091552734,105.88999938964844,100.60926818847656,7707800.0
2018-06-22,106.06999969482422,106.80000305175781,105.80999755859375,106.33999633789062,101.03680419921875,8959100.0
2018-06-25,106.0,106.08000183105469,103.73999786376953,104.44999694824219,99.2410659790039,7995800.0
2018-06-26,104.45999908447266,104.70999908447266,103.91000366210938,104.26000213623047,99.06056213378906,6550000.0
2018-06-27,104.5,105.87999725341797,103.4800033569336,103.95999908447266,98.77550506591797,8803300.0
2018-06-28,103.91000366210938,105.12000274658203,103.68000030517578,104.7699966430664,99.54511260986328,6303600.0
2018-06-29,104.93000030517578,105.68000030517578,104.6500015258789,104.80999755859375,99.5831298828125,6774000.0
2018-07-02,104.1500015258789,105.37000274658203,103.9000015258789,105.33000183105469,100.07718658447266,5488900.0
2018-07-03,105.87999725341797,105.94999694824219,103.5,104.04000091552734,98.85152435302734,2406300.0
2018-07-04,105.87999725341797,105.94999694824219,103.5,104.04000091552734,98.85152435302734,2406300.0
2018-07-05,104.69999694824219,105.5999984741211,104.43000030517578,105.33999633789062,100.08668518066406,6202800.0
2018-07-06,104.5,105.04000091552734,104.04000091552734,104.77999877929688,100.35486602783203,4134500.0
2018-07-09,105.01000213623047,106.06999969482422,104.75,106.0199966430664,101.54249572753906,4725200.0
2018-07-10,106.25,106.56999969482422,104.83000183105469,106.02999877929688,101.55207061767578,4213600.0
2018-07-11,105.31999969482422,109.33999633789062,105.31999969482422,108.04000091552734,103.47718811035156,11753800.0
2018-07-12,108.05000305175781,109.19999694824219,107.81999969482422,108.25,103.6783218383789,5931400.0
2018-07-13,108.0,110.23999786376953,107.66000366210938,110.0,105.35440826416016,8188800.0
2018-07-16,109.81999969482422,110.44999694824219,108.7699966430664,110.19999694824219,105.54596710205078,8245900.0
2018-07-17,110.26000213623047,112.62000274658203,110.08999633789062,110.30000305175781,105.64175415039062,9075900.0
2018-07-18,110.30999755859375,111.05999755859375,109.6500015258789,110.69000244140625,106.01528930664062,6414100.0
2018-07-19,111.54000091552734,114.68000030517578,111.30000305175781,112.12999725341797,107.39445495605469,17796800.0
2018-07-20,112.1500015258789,112.19999694824219,110.83000183105469,111.4800033569336,106.77192687988281,11787900.0
2018-07-23,111.05000305175781,111.20999908447266,110.33999633789062,111.08999633789062,106.39838409423828,5447800.0
2018-07-24,111.83999633789062,111.88999938964844,110.54000091552734,110.69999694824219,106.02485656738281,5648800.0
2018-07-25,110.63999938964844,111.41999816894531,109.62999725341797,111.18000030517578,106.48458862304688,6756800.0
