Date,AAPL,MSFT,GOOGL,NVDA,AMD,AMZN,TSLA,NKE,MCD,JPM,BAC,GS,BRK-B,JNJ,UNH,PFE,XOM,CVX,COP,BA,CAT,HON,META,NFLX,DIS,PG,KO,NEE,AMT,PLD
2020-12-29,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2020-12-30,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2020-12-31,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-01,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-04,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-05,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-06,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-07,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-08,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-11,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-12,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-13,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-14,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-15,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-18,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-19,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-20,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-21,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-22,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-25,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-26,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-27,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-28,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-01-29,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-02-01,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-02-02,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-02-03,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-02-04,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-02-05,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-02-08,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-02-09,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-02-10,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-02-11,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-02-12,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-02-15,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-02-16,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-02-17,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2021-02-18,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High
2021-02-19,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High
2021-02-22,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High
2021-02-23,High,High,High,Low,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High
2021-02-24,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High
2021-02-25,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High
2021-02-26,High,High,High,Low,Low,Low,High,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High
2021-03-01,High,High,High,Low,Low,Low,High,Low,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High
2021-03-02,High,High,High,Low,Low,Low,High,Low,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High
2021-03-03,High,High,Low,Low,Low,Low,High,Low,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High
2021-03-04,High,High,Low,Low,Low,Low,High,Low,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,Low,High,High,High,High,High,High
2021-03-05,High,High,Low,Low,Low,Low,High,Low,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,Low,High,High,High,High,High,High
2021-03-08,High,High,Low,Low,Low,Low,High,Low,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,Low,High,High,High,High,High,High
2021-03-09,High,High,Low,Low,Low,Low,High,Low,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,Low,High,High,High,High,High,High
2021-03-10,High,High,Low,Low,Low,Low,High,Low,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,Low,High,High,High,High,High,High
2021-03-11,High,High,Low,Low,Low,Low,High,Low,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,Low,High,High,High,High,High,High
2021-03-12,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,Low,High,High,High,High,High,High
2021-03-15,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,Low,High,Low,High,High,High,High
2021-03-16,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,Low,High,Low,High,High,High,High
2021-03-17,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,High,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,High,High,High
2021-03-18,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,High,High,High
2021-03-19,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,High,High
2021-03-22,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,High,High
2021-03-23,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,High,High
2021-03-24,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low
2021-03-25,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low
2021-03-26,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low
2021-03-29,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low
2021-03-30,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low
2021-03-31,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-01,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-02,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-05,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-06,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-07,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-08,High,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-09,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-12,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-13,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-14,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-15,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-16,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-19,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-20,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,High,Low,Low,Low,High,High,High,High,Low,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-21,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,High,Low,Low,Low,High,High,High,High,Low,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-22,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,High,Low,Low,Low,High,High,High,High,Low,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-23,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,High,Low,Low,Low,High,High,High,High,Low,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-26,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,High,Low,Low,Low,High,High,High,High,Low,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-27,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,High,Low,Low,Low,High,High,High,High,Low,High,Low,Low,High,Low,High,Low,Low,Low
2021-04-28,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,High,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-04-29,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,High,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-04-30,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,High,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-03,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,High,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-04,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,High,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-05,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-06,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-07,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-10,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-11,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-12,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-13,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-14,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,High,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-17,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-18,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-19,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-20,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-21,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-24,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-25,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-26,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-27,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-28,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low
2021-05-31,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,Low
2021-06-01,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,Low
2021-06-02,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,Low
2021-06-03,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,Low
2021-06-04,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,Low
2021-06-07,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,Low
2021-06-08,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,Low
2021-06-09,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,Low
2021-06-10,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,Low
2021-06-11,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,Low
2021-06-14,High,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,Low
2021-06-15,High,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Low,Low,Low,Low,Low,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-06-16,High,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-06-17,High,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-06-18,High,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low
2021-06-21,High,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low
2021-06-22,High,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low
2021-06-23,High,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low
2021-06-24,High,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low
2021-06-25,High,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low
2021-06-28,High,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-06-29,High,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-06-30,High,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-01,High,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-02,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-05,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-06,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-07,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-08,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-09,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-12,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-13,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-14,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-15,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-16,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-19,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-20,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-21,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-22,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-23,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-26,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-27,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-28,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-29,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-07-30,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-08-02,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-08-03,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-08-04,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-08-05,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-08-06,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-08-09,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-08-10,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-08-11,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-08-12,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-08-13,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-08-16,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-08-17,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-08-18,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-08-19,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2021-08-20,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
