Date,Log_Return
2018-06-05,-0.019086459534572997
2018-06-06,0.09298733807137727
2018-06-07,-0.010730278490089475
2018-06-08,0.004954692435399038
2018-06-11,0.04445444887073472
2018-06-12,0.031623579957868575
2018-06-13,0.005846814961109414
2018-06-14,0.036844043828737995
2018-06-15,0.0012572053263429782
2018-06-18,0.03473599661662311
2018-06-19,-0.05055133619592977
2018-06-20,0.027059386425411523
2018-06-21,-0.04145833852996418
2018-06-22,-0.04076083263689132
2018-06-25,-0.0018601117764972604
2018-06-26,0.02663819480865757
2018-06-27,0.007283408999648192
2018-06-28,0.015639022752901306
2018-06-29,-0.020148496990899354
2018-07-02,-0.02324520251387864
2018-07-03,-0.0749967408799285
2018-07-04,0.0
2018-07-05,-0.00548377173144179
2018-07-06,-0.0008413739443247261
2018-07-09,0.030636287189681716
2018-07-10,0.012356234552786241
2018-07-11,-0.010944370832144498
2018-07-12,-0.007079156356632034
2018-07-13,0.006796925091447165
2018-07-16,-0.027888696957791365
2018-07-17,0.039797339718765146
2018-07-18,0.003588340997915393
2018-07-19,-0.011240942684509224
2018-07-20,-0.02098503581790621
2018-07-23,-0.03366183049098469
2018-07-24,-0.019213739494976158
2018-07-25,0.037320581448582704
2018-07-26,-0.006792485928422633
2018-07-27,-0.03136897003681015
2018-07-30,-0.023871031864305167
2018-07-31,0.02709614937799272
2018-08-01,0.009015402580141905
2018-08-02,0.1500394953693686
2018-08-03,-0.00392722251966948
2018-08-06,-0.017909315280774534
2018-08-07,0.10425751987100265
2018-08-08,-0.02461753965428242
2018-08-09,-0.04951266848117073
2018-08-10,0.008588294353453393
2018-08-13,0.002584687857127241
2018-08-14,-0.024914314053937747
2018-08-15,-0.026082295987135885
2018-08-16,-0.009612303405664177
2018-08-17,-0.09352310299855524
2018-08-20,0.009577607495927778
2018-08-21,0.04271350329177862
2018-08-22,-0.0008079720701797333
2018-08-23,-0.0047994694464031625
2018-08-24,0.008461454998839912
2018-08-27,-0.011057797782740283
2018-08-28,-0.0234827463444085
2018-08-29,-0.02220982005243565
2018-08-30,-0.006116857728366764
2018-08-31,-0.004927151351277619
2018-09-03,0.0
2018-09-04,-0.0430469232692942
2018-09-05,-0.028824659687569285
2018-09-06,0.0007477402091871391
2018-09-07,-0.06511051590830808
2018-09-10,0.08117582516337454
2018-09-11,-0.021454393137783412
2018-09-12,0.038953647795662634
2018-09-13,-0.0037241683417792272
2018-09-14,0.019636019543975154
2018-09-17,-0.0012202649255036756
2018-09-18,-0.034084013592407654
2018-09-19,0.048161677252015485
2018-09-20,-0.002310276436765527
2018-09-21,0.0025777618885772795
