Date,Log_Return
2018-06-05,-0.005640754325847301
2018-06-06,0.023099141544034505
2018-06-07,0.003979001743681117
2018-06-08,0.0027940605001318466
2018-06-11,-0.0025232763832112974
2018-06-12,-0.0057913130967811545
2018-06-13,-0.0019985784792390677
2018-06-14,-0.017798397461061037
2018-06-15,-0.0012042845713182524
2018-06-18,0.002591618813461081
2018-06-19,-0.005840770458428828
2018-06-20,-9.282936407694672e-05
2018-06-21,-0.0002792459635817657
2018-06-22,-0.01650613292558904
2018-06-25,-0.009119418852010855
2018-06-26,0.0006679342395589925
2018-06-27,-0.015569706658119674
2018-06-28,0.016237195059304287
2018-06-29,-0.006981312642921062
2018-07-02,0.008409694848943184
2018-07-03,-0.014087733593919289
2018-07-04,0.0
2018-07-05,0.006480256667352188
2018-07-06,0.0032728397115695286
2018-07-09,0.030474281325446922
2018-07-10,-0.00617105346112214
2018-07-11,-0.002159515295883664
2018-07-12,0.004314553802398945
2018-07-13,-0.0045964465101521225
2018-07-16,0.03890970356983288
2018-07-17,-0.0007235609829112389
2018-07-18,0.009277945730157836
2018-07-19,-0.014813820154173313
2018-07-20,0.012569845201178296
2018-07-23,0.018430668756217433
2018-07-24,0.007032863221844951
2018-07-25,0.00898302027554722
2018-07-26,-0.0028693630719678026
2018-07-27,0.010222016796268711
2018-07-30,0.0060147333949362594
2018-07-31,-0.01536633167247037
2018-08-01,0.00615766127547626
2018-08-02,0.004227715971383593
2018-08-03,0.008060460182799649
2018-08-06,0.00025590243124045254
2018-08-07,0.003664825058407946
2018-08-08,0.0020395561469709767
2018-08-09,-0.007755778488271736
2018-08-10,-0.009887428408643602
2018-08-13,-0.01602699893056182
2018-08-14,0.006650717667381861
2018-08-15,-0.008320455916596189
2018-08-16,0.009366425085601754
2018-08-17,0.0
2018-08-20,-0.0013074678030210718
2018-08-21,0.006088417076491691
2018-08-22,-0.0030398212304069286
2018-08-23,-0.002089470927681346
2018-08-24,-0.0004357844963260606
2018-08-27,0.017546261316052914
2018-08-28,-0.004895662604045049
2018-08-29,-0.0032772499740879083
2018-08-30,-0.0049363473903479265
2018-08-31,-0.005309552355497435
2018-09-03,0.0
2018-09-04,0.004962397855147612
2018-09-05,-0.0048751661435727555
2018-09-06,-0.004285147688098642
2018-09-07,0.0019261431481509281
2018-09-10,-0.005350150058471565
2018-09-11,0.006312120848126862
2018-09-12,-0.01186781878498647
2018-09-13,0.0038833971471499665
2018-09-14,-0.00017636514965595248
2018-09-17,0.0029911665335999892
2018-09-18,0.004032848908377198
2018-09-19,0.028632578510539755
2018-09-20,0.00855009729817406
