Date,Rolling_Vol_30d
2018-06-05,
2018-06-06,
2018-06-07,
2018-06-08,
2018-06-11,
2018-06-12,
2018-06-13,
2018-06-14,
2018-06-15,
2018-06-18,
2018-06-19,
2018-06-20,
2018-06-21,
2018-06-22,
2018-06-25,
2018-06-26,
2018-06-27,
2018-06-28,
2018-06-29,
2018-07-02,
2018-07-03,
2018-07-04,
2018-07-05,
2018-07-06,
2018-07-09,
2018-07-10,
2018-07-11,
2018-07-12,
2018-07-13,
2018-07-16,0.010528772420678675
2018-07-17,0.01050618123600289
2018-07-18,0.010560807032215682
2018-07-19,0.01013761314276494
2018-07-20,0.009621148202238422
2018-07-23,0.009612773185516453
2018-07-24,0.009623004984512466
2018-07-25,0.009431222911382426
2018-07-26,0.009375437638091557
2018-07-27,0.008910014209409792
2018-07-30,0.008012559212116485
2018-07-31,0.008057621430578803
2018-08-01,0.007955285436255016
2018-08-02,0.008318427665583149
2018-08-03,0.008097225157243116
2018-08-06,0.008085645733821195
2018-08-07,0.008086565416986333
2018-08-08,0.008074649880038354
2018-08-09,0.008444704869835168
2018-08-10,0.008443272116579262
2018-08-13,0.008442666323169938
2018-08-14,0.008435904519120291
2018-08-15,0.008637324898345818
2018-08-16,0.008641503243958485
2018-08-17,0.008648967920965693
2018-08-20,0.007754533344896854
2018-08-21,0.00652996753745388
2018-08-22,0.006421951377332541
2018-08-23,0.006381268551200248
2018-08-24,0.0063529898009356605
2018-08-27,0.006353643068697374
2018-08-28,0.006304180244021685
2018-08-29,0.006223677455166673
2018-08-30,0.006166661635132597
2018-08-31,0.00630005336255242
2018-09-03,0.006265869249782209
2018-09-04,0.006273055256695701
2018-09-05,0.006302074763516806
2018-09-06,0.006409447628347928
2018-09-07,0.006589169909362562
2018-09-10,0.006576988703585973
2018-09-11,0.006488699711859969
2018-09-12,0.006865040763129947
2018-09-13,0.006235833815806845
2018-09-14,0.006207691173526861
2018-09-17,0.006335298100817764
2018-09-18,0.006368381680866311
2018-09-19,0.00632329043098837
2018-09-20,0.006488081150460629
2018-09-21,0.006520052801268766
2018-09-24,0.0074718251276587756
2018-09-25,0.00792571125339015
2018-09-26,0.007633254353254779
2018-09-27,0.007030956572103282
2018-09-28,0.007085065136985057
2018-10-01,0.0071539610534038615
2018-10-02,0.00728963133735036
2018-10-03,0.007783159841801487
2018-10-04,0.008151078343694171
2018-10-05,0.008166244419598642
2018-10-08,0.008187744744072467
2018-10-09,0.008193979769309558
2018-10-10,0.008347445384544279
2018-10-11,0.010110081818406141
2018-10-12,0.010114715087119183
2018-10-15,0.01047930708388631
2018-10-16,0.010700488958829225
2018-10-17,0.01080091737095607
2018-10-18,0.010898357399601528
2018-10-19,0.01885869390910539
2018-10-22,0.018942932345352003
2018-10-23,0.018919625626979065
2018-10-24,0.01931318377235813
2018-10-25,0.019364738712114707
2018-10-26,0.019566204301954125
2018-10-29,0.019542392960020676
2018-10-30,0.019585910758043237
2018-10-31,0.019636966922937305
2018-11-01,0.019522237526689024
2018-11-02,0.019511620144945337
2018-11-05,0.019284649631631023
2018-11-06,0.019025981919158347
2018-11-07,0.01905407425001777
2018-11-08,0.01899862596502063
2018-11-09,0.019052670813013425
2018-11-12,0.019050899089471118
2018-11-13,0.019051383212919246
2018-11-14,0.018703693924559128
2018-11-15,0.018403626529380015
2018-11-16,0.018422271193150593
2018-11-19,0.018517971888917358
2018-11-20,0.018747009183433017
2018-11-21,0.018706252538819072
2018-11-22,0.017439173759470343
2018-11-23,0.017445564991224998
2018-11-26,0.0173758692189402
2018-11-27,0.017352037710852943
2018-11-28,0.01732135908150599
2018-11-29,0.017114009380737837
2018-11-30,0.00872029022782601
2018-12-03,0.008953400577774696
2018-12-04,0.00893350727060974
2018-12-05,0.00772769708031941
2018-12-06,0.007629653116639244
2018-12-07,0.007561905348718469
2018-12-10,0.00759327162422853
2018-12-11,0.0075442169343990974
2018-12-12,0.007412805300893769
2018-12-13,0.008483557016432268
2018-12-14,0.008485221547539279
2018-12-17,0.011282801976915488
2018-12-18,0.011288224818471975
2018-12-19,0.011379351582904797
2018-12-20,0.01148881507659695
2018-12-21,0.01127947951400951
2018-12-24,0.013403889429331337
2018-12-25,0.013270182667006523
2018-12-26,0.014574746252739893
2018-12-27,0.015119622647329354
2018-12-28,0.015198753114415497
2018-12-31,0.015258873539714349
2019-01-01,0.01507970007314033
2019-01-02,0.015070927603444225
2019-01-03,0.015124812870132813
2019-01-04,0.015579724728467451
2019-01-07,0.01558026048340425
2019-01-08,0.015516015813928953
2019-01-09,0.015785845419225057
2019-01-10,0.01579420347643835
2019-01-11,0.01546249916595151
2019-01-14,0.015345864328977627
2019-01-15,0.015457879701155952
2019-01-16,0.015503060347648694
2019-01-17,0.015491241523825897
2019-01-18,0.015437619244659686
2019-01-21,0.015390857785170388
2019-01-22,0.015392016779745683
2019-01-23,0.017759002329505672
2019-01-24,0.017133525375739315
2019-01-25,0.017175085094429984
2019-01-28,0.015420357768037211
2019-01-29,0.015405954422518752
2019-01-30,0.015418449163088307
2019-01-31,0.015688657188110286
2019-02-01,0.01575065747292544
2019-02-04,0.013492602284238115
2019-02-05,0.013600487660623094
2019-02-06,0.012623207393317291
2019-02-07,0.012296352082937384
2019-02-08,0.012127641629371827
2019-02-11,0.012098177730185268
2019-02-12,0.012165285857735225
2019-02-13,0.0120390099598298
2019-02-14,0.012064690703084748
2019-02-15,0.011627038572134702
2019-02-18,0.011574306260385808
2019-02-19,0.011804623298023646
2019-02-20,0.011392953524229086
2019-02-21,0.011396839921045081
2019-02-22,0.0113833816164091
2019-02-25,0.011384204343462816
2019-02-26,0.01132437255966216
2019-02-27,0.01140085266119025
2019-02-28,0.011450984125961959
2019-03-01,0.011418900241772719
2019-03-04,0.011414169546252007
2019-03-05,0.011131601793760826
2019-03-06,0.00732986120127188
2019-03-07,0.007275213491154431
2019-03-08,0.007101498362576207
2019-03-11,0.007319717052225724
2019-03-12,0.007325928189259776
2019-03-13,0.007358479101982963
2019-03-14,0.006511289810504889
2019-03-15,0.006543706919425107
2019-03-18,0.006782388848699341
2019-03-19,0.006659418301386064
2019-03-20,0.006652761714718293
2019-03-21,0.006509778568467988
2019-03-22,0.006706367499498603
2019-03-25,0.006662727675060456
2019-03-26,0.006677486189485037
2019-03-27,0.006686968938288623
2019-03-28,0.00652096626293116
2019-03-29,0.006539315153048552
2019-04-01,0.006616767963090777
2019-04-02,0.00610473270103715
2019-04-03,0.005909615637894475
2019-04-04,0.005912556988704348
2019-04-05,0.005878569966461541
2019-04-08,0.006046073699040517
2019-04-09,0.006104279833529432
2019-04-10,0.005763278231907345
2019-04-11,0.005671620203881748
2019-04-12,0.0056422657937499465
2019-04-15,0.005680675264703295
2019-04-16,0.005733876225072411
2019-04-17,0.0056861587395196376
2019-04-18,0.005560797075800648
2019-04-19,0.0055306182042619955
2019-04-22,0.005281888953977753
2019-04-23,0.0075288274085451206
2019-04-24,0.007329726026521091
2019-04-25,0.007386126461987294
2019-04-26,0.008386928365927233
2019-04-29,0.008438062948508539
2019-04-30,0.008852188975677654
2019-05-01,0.009326779628332883
2019-05-02,0.00929498729460999
2019-05-03,0.009146462082023413
2019-05-06,0.009195928335468506
2019-05-07,0.009239205063206909
2019-05-08,0.009244972671320562
2019-05-09,0.009324763949917313
2019-05-10,0.00976640345711344
2019-05-13,0.00972416252834822
2019-05-14,0.009782361083691864
2019-05-15,0.009931109990644267
2019-05-16,0.010138521726536075
2019-05-17,0.010238228866508308
2019-05-20,0.010024313901613355
2019-05-21,0.010165261142081834
2019-05-22,0.010174013982226587
2019-05-23,0.010174432767188536
2019-05-24,0.01017025091666592
2019-05-27,0.010115418631281113
2019-05-28,0.010788517141418496
2019-05-29,0.01078860032729889
2019-05-30,0.010981275446759637
2019-05-31,0.011757242228786179
2019-06-03,0.011887510244558164
2019-06-04,0.010882332937358595
2019-06-05,0.011391942204063317
2019-06-06,0.011389649156097774
2019-06-07,0.010739305539910534
2019-06-10,0.010535327699120852
2019-06-11,0.010201002916078693
2019-06-12,0.009771459748396617
2019-06-13,0.009898381255050945
