Date,Rolling_Vol_30d
2018-06-05,
2018-06-06,
2018-06-07,
2018-06-08,
2018-06-11,
2018-06-12,
2018-06-13,
2018-06-14,
2018-06-15,
2018-06-18,
2018-06-19,
2018-06-20,
2018-06-21,
2018-06-22,
2018-06-25,
2018-06-26,
2018-06-27,
2018-06-28,
2018-06-29,
2018-07-02,
2018-07-03,
2018-07-04,
2018-07-05,
2018-07-06,
2018-07-09,
2018-07-10,
2018-07-11,
2018-07-12,
2018-07-13,
2018-07-16,0.007257497753440555
2018-07-17,0.007240047664335026
2018-07-18,0.0071941145053256465
2018-07-19,0.0071919481390715105
2018-07-20,0.006949082759871853
2018-07-23,0.00710092998236938
2018-07-24,0.007116045477433046
2018-07-25,0.0076794202098304344
2018-07-26,0.007584063975207477
2018-07-27,0.007339987710395771
2018-07-30,0.006812775297405607
2018-07-31,0.006916535815511297
2018-08-01,0.006798725041670741
2018-08-02,0.006818634052998479
2018-08-03,0.006939956208256911
2018-08-06,0.006879645031585975
2018-08-07,0.006792804299185563
2018-08-08,0.00686356762244703
2018-08-09,0.006749827440142373
2018-08-10,0.006776002506759614
2018-08-13,0.006858550928514973
2018-08-14,0.006818445991551165
2018-08-15,0.00683071032463249
2018-08-16,0.0063417967215153295
2018-08-17,0.00646187894698943
2018-08-20,0.006335360240375029
2018-08-21,0.0063891315999831085
2018-08-22,0.006462996468984881
2018-08-23,0.00652073556315041
2018-08-24,0.006532062474040771
2018-08-27,0.0065309505710510795
2018-08-28,0.006345088677359846
2018-08-29,0.006323354686063476
2018-08-30,0.00651438949920884
2018-08-31,0.0066454662688619996
2018-09-03,0.006520839968633671
2018-09-04,0.006438736287693647
2018-09-05,0.006038316362921406
2018-09-06,0.006227281381843006
2018-09-07,0.006228565697171373
2018-09-10,0.006387206760696611
2018-09-11,0.006170859100437903
2018-09-12,0.006175181987539706
2018-09-13,0.006118893266038977
2018-09-14,0.005893152168951648
2018-09-17,0.006042012612735385
2018-09-18,0.006212772816931624
2018-09-19,0.006053113817994153
2018-09-20,0.006573187772337183
2018-09-21,0.006473712631065278
2018-09-24,0.006728981908294052
2018-09-25,0.006921738557799649
2018-09-26,0.006913833682949593
2018-09-27,0.006920863428792543
2018-09-28,0.006791884577763606
2018-10-01,0.006773632971677976
2018-10-02,0.00653788386896381
2018-10-03,0.0069417863669867085
2018-10-04,0.006872133539281649
2018-10-05,0.00686260619833174
2018-10-08,0.007233667174626502
2018-10-09,0.007100888202392663
2018-10-10,0.007705954849344801
2018-10-11,0.008690479273545828
2018-10-12,0.008540020976820835
2018-10-15,0.008583803444451605
2018-10-16,0.008850672849988275
2018-10-17,0.008622917843650189
2018-10-18,0.008558408539279376
2018-10-19,0.009008348596062764
2018-10-22,0.00904707318273375
2018-10-23,0.009167615325317673
2018-10-24,0.009236472883295608
2018-10-25,0.009286536333775585
2018-10-26,0.009575391717447304
2018-10-29,0.00972783733976014
2018-10-30,0.01058244545545304
2018-10-31,0.010607141031718679
2018-11-01,0.010328086477823798
2018-11-02,0.010354586593678564
2018-11-05,0.010372183082390754
2018-11-06,0.010253061915178463
2018-11-07,0.010263891630274686
2018-11-08,0.010279135536626495
2018-11-09,0.010312130064986139
2018-11-12,0.010310791741236745
2018-11-13,0.010300422556312524
2018-11-14,0.009877327760793218
2018-11-15,0.009876951400621206
2018-11-16,0.009926360438246979
2018-11-19,0.009773532455869026
2018-11-20,0.01079387369388717
2018-11-21,0.01067904614383948
2018-11-22,0.009577127682733404
2018-11-23,0.00958453106810569
2018-11-26,0.009640964869296935
2018-11-27,0.009557738375313502
2018-11-28,0.00953640274382318
2018-11-29,0.00958277719019894
2018-11-30,0.010439988334779916
2018-12-03,0.010730380417462888
2018-12-04,0.010715388462160831
2018-12-05,0.010674223119840112
2018-12-06,0.010659728154023183
2018-12-07,0.010396155672613995
2018-12-10,0.01025106393322051
2018-12-11,0.009352627825647114
2018-12-12,0.009438646939085889
2018-12-13,0.0094314374680278
2018-12-14,0.009428926870888343
2018-12-17,0.00990313193764113
2018-12-18,0.00976983813380464
2018-12-19,0.009829661592921866
2018-12-20,0.009907776611250401
2018-12-21,0.009796731514513317
2018-12-24,0.011469398997282797
2018-12-25,0.011470817876366848
2018-12-26,0.012250935549574385
2018-12-27,0.012520565029535979
2018-12-28,0.012420124305278606
2018-12-31,0.012352371223562588
2019-01-01,0.01171710077901737
2019-01-02,0.011588437121924621
2019-01-03,0.011625340200641791
2019-01-04,0.012177783392673397
2019-01-07,0.012380663175578045
2019-01-08,0.012414867627528768
2019-01-09,0.012757374441814653
2019-01-10,0.012922765339012808
2019-01-11,0.01171621371174204
2019-01-14,0.01149919005910821
2019-01-15,0.011660597143088185
2019-01-16,0.01187308845606708
2019-01-17,0.01189732779577426
2019-01-18,0.012107436882926283
2019-01-21,0.012084854911821107
2019-01-22,0.012026938104210622
2019-01-23,0.012202516663816032
2019-01-24,0.012326741799863433
2019-01-25,0.012365596999927026
2019-01-28,0.011832352932826045
2019-01-29,0.011877402240490656
2019-01-30,0.011919932121401954
2019-01-31,0.01187600466449035
2019-02-01,0.012055984553696799
2019-02-04,0.010195899441336283
2019-02-05,0.010194386567811114
2019-02-06,0.009561728814982164
2019-02-07,0.009345404649638702
2019-02-08,0.009214055860760137
2019-02-11,0.009210040016796183
2019-02-12,0.009206014234611306
2019-02-13,0.008990815044664585
2019-02-14,0.018727902639321503
2019-02-15,0.018358594198500056
2019-02-18,0.01823239569576015
2019-02-19,0.018130755141222
2019-02-20,0.01787910575267922
2019-02-21,0.018048901093022998
2019-02-22,0.018130785732037878
2019-02-25,0.01815909808314923
2019-02-26,0.01806322234969585
2019-02-27,0.01797699214483583
2019-02-28,0.018058707850341905
2019-03-01,0.01790075265758027
2019-03-04,0.01795171008521185
2019-03-05,0.017938210371462822
2019-03-06,0.017771706937291444
2019-03-07,0.017673512740916716
2019-03-08,0.01771174819486321
2019-03-11,0.018599289737128637
2019-03-12,0.018572806319136922
2019-03-13,0.018486842067797778
2019-03-14,0.01844369407076755
2019-03-15,0.01831750276174227
2019-03-18,0.018166082157889077
2019-03-19,0.018190239309690177
2019-03-20,0.018187748157502175
2019-03-21,0.018161211109438385
2019-03-22,0.01827201026256311
2019-03-25,0.018271638113970572
2019-03-26,0.01847903244884808
2019-03-27,0.018461749182671912
2019-03-28,0.008705215113661612
2019-03-29,0.008590987606130345
2019-04-01,0.008625844156985678
2019-04-02,0.008444569693751845
2019-04-03,0.008591690930445954
2019-04-04,0.008140879471477024
2019-04-05,0.007737759630071746
2019-04-08,0.00756178014407284
2019-04-09,0.007445599503804592
2019-04-10,0.0074214521343316745
2019-04-11,0.007291161949521603
2019-04-12,0.007291748073998949
2019-04-15,0.007283611363017812
2019-04-16,0.007283259229185337
2019-04-17,0.007303746514811526
2019-04-18,0.0072470335393239535
2019-04-19,0.006918219367501208
2019-04-22,0.004654361612860833
2019-04-23,0.005409326927080289
2019-04-24,0.0055281192165454445
2019-04-25,0.005536152738756471
2019-04-26,0.005331096329129314
2019-04-29,0.0053353462072734045
2019-04-30,0.00569866732956064
2019-05-01,0.006090044181148664
2019-05-02,0.006180954582622405
2019-05-03,0.006100633236535837
2019-05-06,0.0062368177195368645
2019-05-07,0.006189715109097497
2019-05-08,0.0062284262953719366
2019-05-09,0.006503848233609576
2019-05-10,0.007066305343219218
2019-05-13,0.007064744969540989
2019-05-14,0.007363325110323666
2019-05-15,0.007277500414929352
2019-05-16,0.007317149724318168
2019-05-17,0.007525030736718222
2019-05-20,0.007704155664376796
2019-05-21,0.0077986790797868084
2019-05-22,0.008599528581404559
2019-05-23,0.008605926573071104
2019-05-24,0.008696800688073075
2019-05-27,0.008677432879358665
2019-05-28,0.008943924976386648
2019-05-29,0.00912090439812511
2019-05-30,0.009371283912932175
2019-05-31,0.00939279545727806
2019-06-03,0.009817557364000813
2019-06-04,0.0093910006858265
2019-06-05,0.009669285426432018
2019-06-06,0.009800764575966384
2019-06-07,0.009727460743437801
2019-06-10,0.009756061069792167
2019-06-11,0.009537444349271439
2019-06-12,0.009333227030258883
