Date,Log_Return
2018-06-05,-0.0067653572418493405
2018-06-06,0.016892806679375066
2018-06-07,0.005239639178545163
2018-06-08,-0.0002571669049291471
2018-06-11,0.00299471666642121
2018-06-12,-0.006256357050804572
2018-06-13,0.005145267861511415
2018-06-14,-0.0007704446029122216
2018-06-15,-0.007431526712101049
2018-06-18,-0.0022877405284198447
2018-06-19,-0.013356481147199386
2018-06-20,-0.0021924217755895756
2018-06-21,-0.0036938858301663598
2018-06-22,-0.004238532803245411
2018-06-25,-0.020020280117717098
2018-06-26,0.00018048454253301224
2018-06-27,-0.006338330001758945
2018-06-28,0.01460797269364129
2018-06-29,-0.012837936092615946
2018-07-02,0.012121751685587228
2018-07-03,-0.012983707098316893
2018-07-04,0.0
2018-07-05,0.0016320572222797416
2018-07-06,0.004745510250230146
2018-07-09,0.027570819932369373
2018-07-10,-0.0050127636781048665
2018-07-11,-0.005259560952449834
2018-07-12,0.006889326399711086
2018-07-13,-0.003571326514153489
2018-07-16,0.021973281591353085
2018-07-17,-0.0018163492417980285
2018-07-18,0.0009516030011033643
2018-07-19,-0.006986707813648424
2018-07-20,0.008931040669282159
2018-07-23,0.008894730352429573
2018-07-24,0.009028146172328227
2018-07-25,0.0034281146663067965
2018-07-26,0.0017725683661257365
2018-07-27,0.0022329983906524474
2018-07-30,0.005497249836195173
2018-07-31,-0.006381202878590271
2018-08-01,-0.005871770677258587
2018-08-02,-0.008722788022776946
2018-08-03,0.0004271899059881096
2018-08-06,0.00782958544891238
2018-08-07,0.008020881897664575
2018-08-08,-0.006157823679179632
2018-08-09,-0.011017503382815055
2018-08-10,-0.017998611039134124
2018-08-13,-0.01204894413682827
2018-08-14,0.011831323820878295
2018-08-15,-0.0013514196200994555
2018-08-16,0.01622537919363894
2018-08-17,0.0016295994324113628
2018-08-20,0.010230915162934503
2018-08-21,0.01209916422253612
2018-08-22,0.002887058227250857
2018-08-23,-0.012613794054192348
2018-08-24,-0.00521782553010551
2018-08-27,0.03136060478135459
2018-08-28,-0.000948626867555169
2018-08-29,-0.0007038398693393319
2018-08-30,-0.00831974275822601
2018-08-31,-0.0066638521592814375
2018-09-03,0.0
2018-09-04,-0.0006306962233532403
2018-09-05,-0.00042083853233831854
2018-09-06,-0.012879552014194953
2018-09-07,-0.0026043900168299314
2018-09-10,-0.00858698276605847
2018-09-11,-0.007357488839858739
2018-09-12,-0.00898844143376514
2018-09-13,0.0007884800008228042
2018-09-14,0.003977659994360714
2018-09-17,-0.005906482706224891
2018-09-18,0.004378362923825738
2018-09-19,0.028808826889644295
2018-09-20,0.007696082973852007
2018-09-21,-0.008715179068449812
2018-09-24,-0.01042210889533088
2018-09-25,-0.0017190303427349217
2018-09-26,-0.015692343274739826
2018-09-27,-0.0049931701096269316
2018-09-28,-0.015487579867311776
2018-10-01,0.004849125655537449
2018-10-02,0.0032786388269535833
2018-10-03,0.00753560672710589
2018-10-04,-0.0013180283573193635
2018-10-05,-0.007811750637935775
2018-10-08,-0.001595909747128072
2018-10-09,-0.010886247563837301
2018-10-10,-0.03664229276006021
2018-10-11,-0.008974857530109846
2018-10-12,0.004217192358451665
2018-10-15,0.006292374755880593
2018-10-16,0.0296642887887148
2018-10-17,0.029247666131279708
2018-10-18,-0.014694637287241909
2018-10-19,0.008895697655259244
2018-10-22,-0.023899785553087353
2018-10-23,-0.013813510638308652
2018-10-24,-0.04386553598770779
2018-10-25,0.022827733348770536
2018-10-26,-0.007739870356695216
2018-10-29,0.009980176822354121
2018-10-30,0.022086521408883526
2018-10-31,0.027393958534579144
2018-11-01,0.00707419358765032
2018-11-02,0.011912709424016114
2018-11-05,-0.004231960693454636
2018-11-06,-0.0022763741020871424
2018-11-07,0.013406877618603805
2018-11-08,0.0015987246334178242
2018-11-09,-0.03962686353171455
2018-11-12,-0.07748214709455863
2018-11-13,-0.004864696078982263
2018-11-14,-0.012563563486250954
2018-11-15,0.006154247311653513
2018-11-16,-0.007983230473534574
2018-11-19,-0.01948389771214586
2018-11-20,-0.035325498437244036
2018-11-21,0.006563420962375709
2018-11-22,0.0
2018-11-23,-0.018339356075911133
2018-11-26,0.027333139181832555
2018-11-27,-0.003556935017015267
2018-11-28,0.0239808582493297
